测试点,Baseline(μs),2243615222(μs),性能比
1,6.92,4.08,
2,6.92,4.09,169.19%
3,7.02,3.86,181.87%
4,7.14,3.14,182.60%
5,7.02,3.58,196.09%
6,7.22,3.34,216.17%
7,11.2,5.19,215.80%
8,10.88,5.21,208.83%
9,11.34,5.21,217.66%
10,12.2,5.22,233.72%
11,11.32,5.21,217.27%
12,11.4,5.24,217.56%
13,12.36,5.2,237.69%
14,11.47,5.16,222.29%
15,11.64,5.22,222.99%
16,13.62,5.27,258.44%
17,11.38,5.28,215.53%
18,12.34,5.25,235.05%
19,12,5.26,228.14%
20,11.26,5.27,213.66%
21,11.62,5.24,221.76%
22,13.71,5.3,258.68%
23,11.7,5.21,224.57%
24,11.98,5.25,228.19%
25,13.01,5.12,254.10%
26,14.48,5.14,281.71%
27,12.74,5.14,247.86%
28,11.01,5.08,216.73%
29,11.96,5.13,233.14%
30,10.78,5.2,207.31%
31,12.84,5.18,247.88%
32,12.82,5.07,252.86%
33,12,5.07,236.69%
34,11.6,5.2,266.70%
35,11.03,5.26,223.08%
36,12.32,5.02,245.42%
37,16.78,5.44,308.60%
38,17.68,5.44,325.00%
39,13.77,5.46,252.20%
40,17.58,5.71,307.88%
41,15.26,5.71,267.25%
42,15.45,5.94,260.10%
43,15.66,8.43,185.77%
44,16.72,8.37,199.76%
45,19.39,11.19,173.28%
46,80.42,66.54,120.86%
47,80.93,66.91,120.95%
48,171.62,155.3,110.51%
49,292.43,272.21,107.43%
50,636.54,606.5,104.95%
