测试点,Baseline(μs),liuliulz(μs),性能比
1,6.92,4.65,148.8%
2,6.92,4.59,150.8%
3,7.02,4.60,152.6%
4,7.14,3.91,182.6%
5,7.02,3.50,200.6%
6,7.22,3.93,183.7%
7,11.20,4.68,239.3%
8,10.88,4.60,236.5%
9,11.34,4.65,243.9%
10,12.20,4.59,265.8%
11,11.32,4.90,231.0%
12,11.40,4.58,248.9%
13,12.36,5.46,226.4%
14,11.47,5.28,217.2%
15,11.64,5.46,213.2%
16,13.62,5.29,257.5%
17,11.38,4.99,228.1%
18,12.34,4.63,266.5%
19,12.00,4.92,243.9%
20,11.26,4.75,237.1%
21,11.62,3.93,295.7%
22,13.71,3.71,369.5%
23,11.70,3.88,301.5%
24,11.98,3.66,327.3%
25,13.01,6.41,203.0%
26,14.48,6.11,237.0%
27,12.74,5.65,225.5%
28,11.01,5.70,193.2%
29,11.96,5.63,212.4%
30,10.78,6.41,168.2%
31,12.84,6.57,195.4%
32,12.82,5.99,214.0%
33,12.00,6.02,199.3%
34,11.60,4.35,266.7%
35,11.03,4.50,245.1%
36,12.32,7.90,155.9%
37,16.78,7.87,213.2%
38,17.68,7.62,232.0%
39,13.77,9.18,150.0%
40,17.58,5.68,309.5%
41,15.26,5.39,283.1%
42,15.45,6.06,254.9%
43,15.66,9.15,171.1%
44,16.72,8.37,199.8%
45,19.39,11.83,163.9%
46,80.42,80.88,99.4%
47,80.93,69.51,116.4%
48,171.62,158.54,108.3%
49,292.43,299.28,97.7%
50,636.54,614.38,103.6%
