
排名	提交人	提交时间	分数	测试点 1	测试点 2	测试点 3	测试点 4	测试点 5	测试点 6	测试点 7	测试点 8	测试点 9	测试点 10	测试点 11	测试点 12	测试点 13	测试点 14	测试点 15	测试点 16	测试点 17	测试点 18	测试点 19	测试点 20	测试点 21	测试点 22	测试点 23	测试点 24	测试点 25	测试点 26	测试点 27	测试点 28	测试点 29	测试点 30	测试点 31	测试点 32	测试点 33	测试点 34	测试点 35	测试点 36	测试点 37	测试点 38	测试点 39	测试点 40	测试点 41	测试点 42	测试点 43	测试点 44	测试点 45	测试点 46	测试点 47	测试点 48	测试点 49	测试点 50
Baseline时间	7.42μs	7.08μs	7.22μs	7.62μs	6.96μs	7.18μs	10.14μs	13.24μs	10.54μs	11.22μs	10.40μs	12.00μs	10.26μs	12.11μs	10.32μs	11.52μs	10.10μs	11.45μs	10.68μs	14.51μs	10.70μs	12.22μs	11.06μs	11.92μs	12.18μs	18.40μs	10.88μs	12.25μs	12.56μs	12.58μs	10.78μs	12.59μs	12.40μs	11.03μs	11.64μs	13.12μs	12.72μs	16.23μs	16.51μs	12.86μs	16.40μs	22.32μs	21.54μs	23.98μs	26.40μs	78.97μs	211.84μs	218.28μs	299.57μs	733.97μs
1我	windusth	2026/07/09 14:13:36	100.00	3.77μs	3.83μs	3.86μs	3.78μs	3.91μs	3.88μs	4.68μs	4.63μs	4.77μs	4.69μs	4.68μs	4.63μs	4.67μs	4.69μs	4.77μs	4.79μs	4.71μs	4.80μs	4.74μs	4.74μs	4.68μs	4.67μs	4.64μs	4.72μs	4.73μs	4.72μs	4.64μs	4.68μs	4.64μs	4.60μs	4.69μs	4.74μs	4.75μs	4.65μs	4.74μs	4.72μs	4.84μs	4.86μs	4.89μs	5.13μs	5.06μs	5.40μs	7.66μs	7.66μs	10.72μs	68.15μs	67.27μs	159.59μs	272.31μs	612.75μs

测试点	结果	输出错误占比	用时	最优用时
1	Pass	0.00%	3.77μs	3.77μs
2	Pass	0.00%	3.83μs	3.83μs
3	Pass	0.00%	3.86μs	3.86μs
4	Pass	0.00%	3.78μs	3.78μs
5	Pass	0.00%	3.91μs	3.91μs
6	Pass	0.00%	3.88μs	3.88μs
7	Pass	0.00%	4.68μs	4.68μs
8	Pass	0.00%	4.63μs	4.63μs
9	Pass	0.00%	4.77μs	4.77μs
10	Pass	0.00%	4.69μs	4.69μs
11	Pass	0.00%	4.68μs	4.68μs
12	Pass	0.00%	4.63μs	4.63μs
13	Pass	0.00%	4.67μs	4.67μs
14	Pass	0.00%	4.69μs	4.69μs
15	Pass	0.00%	4.77μs	4.77μs
16	Pass	0.00%	4.79μs	4.79μs
17	Pass	0.00%	4.71μs	4.71μs
18	Pass	0.00%	4.80μs	4.80μs
19	Pass	0.00%	4.74μs	4.74μs
20	Pass	0.00%	4.74μs	4.74μs
21	Pass	0.00%	4.68μs	4.68μs
22	Pass	0.00%	4.67μs	4.67μs
23	Pass	0.00%	4.64μs	4.64μs
24	Pass	0.00%	4.72μs	4.72μs
25	Pass	0.00%	4.73μs	4.73μs
26	Pass	0.00%	4.72μs	4.72μs
27	Pass	0.00%	4.64μs	4.64μs
28	Pass	0.00%	4.68μs	4.68μs
29	Pass	0.00%	4.64μs	4.64μs
30	Pass	0.00%	4.60μs	4.60μs
31	Pass	0.00%	4.69μs	4.69μs
32	Pass	0.00%	4.74μs	4.74μs
33	Pass	0.00%	4.75μs	4.75μs
34	Pass	0.00%	4.65μs	4.65μs
35	Pass	0.00%	4.74μs	4.74μs
36	Pass	0.00%	4.72μs	4.72μs
37	Pass	0.00%	4.84μs	4.84μs
38	Pass	0.00%	4.86μs	4.86μs
39	Pass	0.00%	4.89μs	4.89μs
40	Pass	0.00%	5.13μs	5.13μs
41	Pass	0.00%	5.06μs	5.06μs
42	Pass	0.00%	5.40μs	5.40μs
43	Pass	0.00%	7.66μs	7.66μs
44	Pass	0.00%	7.66μs	7.66μs
45	Pass	0.00%	10.72μs	10.72μs
46	Pass	0.00%	68.15μs	68.15μs
47	Pass	0.00%	67.27μs	67.27μs
48	Pass	0.00%	159.59μs	159.59μs
49	Pass	0.00%	272.31μs	272.31μs
50	Pass	0.00%	612.75μs	612.75μs
通过：50 / 50
