测试点,结果,输出错误占比,Baseline时间(us),本次用时(us),较Baseline减少(us),本次/Baseline,是否小于Baseline,最优用时(us)
1,Pass,0.00%,7.42,3.77,3.65,50.81%,是,3.77
2,Pass,0.00%,7.08,3.83,3.25,54.10%,是,3.83
3,Pass,0.00%,7.22,3.86,3.36,53.46%,是,3.86
4,Pass,0.00%,7.62,3.78,3.84,49.61%,是,3.78
5,Pass,0.00%,6.96,3.91,3.05,56.18%,是,3.91
6,Pass,0.00%,7.18,3.88,3.30,54.04%,是,3.88
7,Pass,0.00%,10.14,4.68,5.46,46.15%,是,4.68
8,Pass,0.00%,13.24,4.63,8.61,34.97%,是,4.63
9,Pass,0.00%,10.54,4.77,5.77,45.26%,是,4.77
10,Pass,0.00%,11.22,4.69,6.53,41.80%,是,4.69
11,Pass,0.00%,10.40,4.68,5.72,45.00%,是,4.68
12,Pass,0.00%,12.00,4.63,7.37,38.58%,是,4.63
13,Pass,0.00%,10.26,4.67,5.59,45.52%,是,4.67
14,Pass,0.00%,12.11,4.69,7.42,38.73%,是,4.69
15,Pass,0.00%,10.32,4.77,5.55,46.22%,是,4.77
16,Pass,0.00%,11.52,4.79,6.73,41.58%,是,4.79
17,Pass,0.00%,10.10,4.71,5.39,46.63%,是,4.71
18,Pass,0.00%,11.45,4.80,6.65,41.92%,是,4.80
19,Pass,0.00%,10.68,4.74,5.94,44.38%,是,4.74
20,Pass,0.00%,14.51,4.74,9.77,32.67%,是,4.74
21,Pass,0.00%,10.70,4.68,6.02,43.74%,是,4.68
22,Pass,0.00%,12.22,4.67,7.55,38.22%,是,4.67
23,Pass,0.00%,11.06,4.64,6.42,41.95%,是,4.64
24,Pass,0.00%,11.92,4.72,7.20,39.60%,是,4.72
25,Pass,0.00%,12.18,4.73,7.45,38.83%,是,4.73
26,Pass,0.00%,18.40,4.72,13.68,25.65%,是,4.72
27,Pass,0.00%,10.88,4.64,6.24,42.65%,是,4.64
28,Pass,0.00%,12.25,4.68,7.57,38.20%,是,4.68
29,Pass,0.00%,12.56,4.64,7.92,36.94%,是,4.64
30,Pass,0.00%,12.58,4.60,7.98,36.57%,是,4.60
31,Pass,0.00%,10.78,4.69,6.09,43.51%,是,4.69
32,Pass,0.00%,12.59,4.74,7.85,37.65%,是,4.74
33,Pass,0.00%,12.40,4.75,7.65,38.31%,是,4.75
34,Pass,0.00%,11.03,4.65,6.38,42.16%,是,4.65
35,Pass,0.00%,11.64,4.74,6.90,40.72%,是,4.74
36,Pass,0.00%,13.12,4.72,8.40,35.98%,是,4.72
37,Pass,0.00%,12.72,4.84,7.88,38.05%,是,4.84
38,Pass,0.00%,16.23,4.86,11.37,29.94%,是,4.86
39,Pass,0.00%,16.51,4.89,11.62,29.62%,是,4.89
40,Pass,0.00%,12.86,5.13,7.73,39.89%,是,5.13
41,Pass,0.00%,16.40,5.06,11.34,30.85%,是,5.06
42,Pass,0.00%,22.32,5.40,16.92,24.19%,是,5.40
43,Pass,0.00%,21.54,7.66,13.88,35.56%,是,7.66
44,Pass,0.00%,23.98,7.66,16.32,31.94%,是,7.66
45,Pass,0.00%,26.40,10.72,15.68,40.61%,是,10.72
46,Pass,0.00%,78.97,68.15,10.82,86.30%,是,68.15
47,Pass,0.00%,211.84,67.27,144.57,31.76%,是,67.27
48,Pass,0.00%,218.28,159.59,58.69,73.11%,是,159.59
49,Pass,0.00%,299.57,272.31,27.26,90.90%,是,272.31
50,Pass,0.00%,733.97,612.75,121.22,83.49%,是,612.75
