排名	提交人	提交时间	分数	测试点 1	测试点 2	测试点 3	测试点 4	测试点 5	测试点 6	测试点 7	测试点 8	测试点 9	测试点 10	测试点 11	测试点 12	测试点 13	测试点 14	测试点 15	测试点 16	测试点 17	测试点 18	测试点 19	测试点 20	测试点 21	测试点 22	测试点 23	测试点 24	测试点 25	测试点 26	测试点 27	测试点 28	测试点 29	测试点 30	测试点 31	测试点 32	测试点 33	测试点 34	测试点 35	测试点 36	测试点 37	测试点 38	测试点 39	测试点 40	测试点 41	测试点 42	测试点 43	测试点 44	测试点 45	测试点 46	测试点 47	测试点 48	测试点 49	测试点 50
Baseline时间	7.62μs	7.62μs	7.38μs	7.56μs	7.12μs	7.68μs	11.62μs	11.22μs	11.88μs	11.36μs	11.88μs	11.40μs	11.90μs	10.76μs	11.66μs	12.95μs	11.30μs	11.92μs	12.34μs	12.58μs	11.20μs	12.78μs	12.98μs	10.76μs	14.19μs	14.08μs	12.60μs	12.64μs	12.34μs	12.34μs	11.86μs	12.96μs	10.59μs	10.84μs	10.93μs	12.53μs	16.76μs	14.04μs	14.46μs	16.55μs	14.80μs	19.31μs	26.82μs	21.83μs	27.52μs	149.39μs	151.66μs	184.04μs	436.94μs	662.54μs
1我	windusth	2026/07/09 14:29:24	98.91	3.91μs	3.88μs	4.04μs	4.12μs	4.08μs	4.03μs	5.10μs	5.21μs	5.13μs	5.16μs	5.11μs	5.16μs	5.07μs	5.08μs	5.15μs	5.16μs	5.14μs	5.22μs	5.23μs	5.23μs	5.14μs	5.14μs	5.06μs	5.15μs	5.08μs	5.09μs	5.10μs	5.10μs	5.09μs	5.21μs	5.12μs	5.13μs	5.07μs	5.06μs	5.25μs	5.24μs	5.30μs	5.36μs	5.50μs	5.44μs	5.56μs	5.82μs	7.81μs	8.37μs	11.13μs	66.29μs	67.80μs	157.63μs	269.93μs	609.07μs
2	ji096929	2026/07/09 02:12:59	70.60	5.57μs	5.36μs	4.82μs	4.34μs	4.29μs	2.72μs	6.58μs	5.93μs	6.02μs	5.87μs	6.13μs	5.82μs	7.42μs	7.05μs	7.61μs	7.29μs	6.13μs	5.87μs	6.50μs	5.98μs	6.14μs	5.67μs	7.65μs	7.30μs	7.22μs	6.77μs	6.52μs	5.65μs	5.67μs	7.42μs	7.25μs	5.93μs	6.31μs	5.60μs	7.64μs	7.08μs	6.90μs	6.36μs	6.59μs	6.26μs	6.09μs	8.15μs	9.85μs	9.20μs	12.37μs	68.73μs	67.84μs	155.30μs	275.29μs	604.34μs

测试点	结果	输出错误占比	用时	最优用时
1	Pass	0.00%	3.91μs	3.91μs
2	Pass	0.00%	3.88μs	3.88μs
3	Pass	0.00%	4.04μs	4.04μs
4	Pass	0.00%	4.12μs	4.12μs
5	Pass	0.00%	4.08μs	4.08μs
6	Pass	0.00%	4.03μs	2.72μs
7	Pass	0.00%	5.10μs	5.10μs
8	Pass	0.00%	5.21μs	5.21μs
9	Pass	0.00%	5.13μs	5.13μs
10	Pass	0.00%	5.16μs	5.16μs
11	Pass	0.00%	5.11μs	5.11μs
12	Pass	0.00%	5.16μs	5.16μs
13	Pass	0.00%	5.07μs	5.07μs
14	Pass	0.00%	5.08μs	5.08μs
15	Pass	0.00%	5.15μs	5.15μs
16	Pass	0.00%	5.16μs	5.16μs
17	Pass	0.00%	5.14μs	5.14μs
18	Pass	0.00%	5.22μs	5.22μs
19	Pass	0.00%	5.23μs	5.23μs
20	Pass	0.00%	5.23μs	5.23μs
21	Pass	0.00%	5.14μs	5.14μs
22	Pass	0.00%	5.14μs	5.14μs
23	Pass	0.00%	5.06μs	5.06μs
24	Pass	0.00%	5.15μs	5.15μs
25	Pass	0.00%	5.08μs	5.08μs
26	Pass	0.00%	5.09μs	5.09μs
27	Pass	0.00%	5.10μs	5.10μs
28	Pass	0.00%	5.10μs	5.10μs
29	Pass	0.00%	5.09μs	5.09μs
30	Pass	0.00%	5.21μs	5.21μs
31	Pass	0.00%	5.12μs	5.12μs
32	Pass	0.00%	5.13μs	5.13μs
33	Pass	0.00%	5.07μs	5.07μs
34	Pass	0.00%	5.06μs	5.06μs
35	Pass	0.00%	5.25μs	5.25μs
36	Pass	0.00%	5.24μs	5.24μs
37	Pass	0.00%	5.30μs	5.30μs
38	Pass	0.00%	5.36μs	5.36μs
39	Pass	0.00%	5.50μs	5.50μs
40	Pass	0.00%	5.44μs	5.44μs
41	Pass	0.00%	5.56μs	5.56μs
42	Pass	0.00%	5.82μs	5.82μs
43	Pass	0.00%	7.81μs	7.81μs
44	Pass	0.00%	8.37μs	8.37μs
45	Pass	0.00%	11.13μs	11.13μs
46	Pass	0.00%	66.29μs	66.29μs
47	Pass	0.00%	67.80μs	67.80μs
48	Pass	0.00%	157.63μs	155.30μs
49	Pass	0.00%	269.93μs	269.93μs
50	Pass	0.00%	609.07μs	604.34μs
通过：50 / 50


