测试点,结果,输出错误占比,Baseline时间(us),本次用时(us),较Baseline减少(us),本次/Baseline,是否小于Baseline,最优用时(us)
1,Pass,0.00%,7.62,3.91,3.71,51.31%,是,3.91
2,Pass,0.00%,7.62,3.88,3.74,50.92%,是,3.88
3,Pass,0.00%,7.38,4.04,3.34,54.74%,是,4.04
4,Pass,0.00%,7.56,4.12,3.44,54.50%,是,4.12
5,Pass,0.00%,7.12,4.08,3.04,57.30%,是,4.08
6,Pass,0.00%,7.68,4.03,3.65,52.47%,是,2.72
7,Pass,0.00%,11.62,5.10,6.52,43.89%,是,5.10
8,Pass,0.00%,11.22,5.21,6.01,46.43%,是,5.21
9,Pass,0.00%,11.88,5.13,6.75,43.18%,是,5.13
10,Pass,0.00%,11.36,5.16,6.20,45.42%,是,5.16
11,Pass,0.00%,11.88,5.11,6.77,43.01%,是,5.11
12,Pass,0.00%,11.40,5.16,6.24,45.26%,是,5.16
13,Pass,0.00%,11.90,5.07,6.83,42.61%,是,5.07
14,Pass,0.00%,10.76,5.08,5.68,47.21%,是,5.08
15,Pass,0.00%,11.66,5.15,6.51,44.17%,是,5.15
16,Pass,0.00%,12.95,5.16,7.79,39.85%,是,5.16
17,Pass,0.00%,11.30,5.14,6.16,45.49%,是,5.14
18,Pass,0.00%,11.92,5.22,6.70,43.79%,是,5.22
19,Pass,0.00%,12.34,5.23,7.11,42.38%,是,5.23
20,Pass,0.00%,12.58,5.23,7.35,41.57%,是,5.23
21,Pass,0.00%,11.20,5.14,6.06,45.89%,是,5.14
22,Pass,0.00%,12.78,5.14,7.64,40.22%,是,5.14
23,Pass,0.00%,12.98,5.06,7.92,38.98%,是,5.06
24,Pass,0.00%,10.76,5.15,5.61,47.86%,是,5.15
25,Pass,0.00%,14.19,5.08,9.11,35.80%,是,5.08
26,Pass,0.00%,14.08,5.09,8.99,36.15%,是,5.09
27,Pass,0.00%,12.60,5.10,7.50,40.48%,是,5.10
28,Pass,0.00%,12.64,5.10,7.54,40.35%,是,5.10
29,Pass,0.00%,12.34,5.09,7.25,41.25%,是,5.09
30,Pass,0.00%,12.34,5.21,7.13,42.22%,是,5.21
31,Pass,0.00%,11.86,5.12,6.74,43.17%,是,5.12
32,Pass,0.00%,12.96,5.13,7.83,39.58%,是,5.13
33,Pass,0.00%,10.59,5.07,5.52,47.88%,是,5.07
34,Pass,0.00%,10.84,5.06,5.78,46.68%,是,5.06
35,Pass,0.00%,10.93,5.25,5.68,48.03%,是,5.25
36,Pass,0.00%,12.53,5.24,7.29,41.82%,是,5.24
37,Pass,0.00%,16.76,5.30,11.46,31.62%,是,5.30
38,Pass,0.00%,14.04,5.36,8.68,38.18%,是,5.36
39,Pass,0.00%,14.46,5.50,8.96,38.04%,是,5.50
40,Pass,0.00%,16.55,5.44,11.11,32.87%,是,5.44
41,Pass,0.00%,14.80,5.56,9.24,37.57%,是,5.56
42,Pass,0.00%,19.31,5.82,13.49,30.14%,是,5.82
43,Pass,0.00%,26.82,7.81,19.01,29.12%,是,7.81
44,Pass,0.00%,21.83,8.37,13.46,38.34%,是,8.37
45,Pass,0.00%,27.52,11.13,16.39,40.44%,是,11.13
46,Pass,0.00%,149.39,66.29,83.10,44.37%,是,66.29
47,Pass,0.00%,151.66,67.80,83.86,44.71%,是,67.80
48,Pass,0.00%,184.04,157.63,26.41,85.65%,是,155.30
49,Pass,0.00%,436.94,269.93,167.01,61.78%,是,269.93
50,Pass,0.00%,662.54,609.07,53.47,91.93%,是,604.34
