排名	提交人	提交时间	分数	测试点 1	测试点 2	测试点 3	测试点 4	测试点 5	测试点 6	测试点 7	测试点 8	测试点 9	测试点 10	测试点 11	测试点 12	测试点 13	测试点 14	测试点 15	测试点 16	测试点 17	测试点 18	测试点 19	测试点 20	测试点 21	测试点 22	测试点 23	测试点 24	测试点 25	测试点 26	测试点 27	测试点 28	测试点 29	测试点 30	测试点 31	测试点 32	测试点 33	测试点 34	测试点 35	测试点 36	测试点 37	测试点 38	测试点 39	测试点 40	测试点 41	测试点 42	测试点 43	测试点 44	测试点 45	测试点 46	测试点 47	测试点 48	测试点 49	测试点 50
Baseline时间	6.74μs	6.86μs	6.96μs	7.26μs	6.88μs	7.28μs	10.96μs	11.38μs	10.86μs	10.78μs	10.64μs	11.16μs	12.54μs	12.32μs	11.52μs	11.45μs	12.26μs	12.48μs	11.74μs	11.38μs	11.48μs	11.43μs	11.46μs	11.56μs	12.59μs	13.28μs	11.96μs	12.64μs	11.88μs	12.46μs	11.68μs	11.24μs	12.66μs	12.10μs	11.88μs	11.66μs	13.77μs	13.18μs	14.36μs	14.99μs	15.05μs	15.87μs	13.33μs	14.06μs	17.45μs	74.76μs	74.11μs	164.02μs	288.92μs	637.08μs
1我	windusth	2026/07/09 13:10:15	68.00	4.11μs	-	4.29μs	6.98μs	-	6.90μs	8.67μs	-	8.53μs	-	8.48μs	-	8.57μs	-	8.53μs	-	8.60μs	-	8.65μs	-	8.51μs	-	8.63μs	-	8.59μs	-	8.54μs	8.53μs	8.44μs	8.51μs	8.61μs	8.57μs	8.54μs	8.49μs	8.46μs	8.63μs	8.83μs	-	8.81μs	9.11μs	-	9.21μs	11.91μs	-	14.52μs	71.09μs	-	159.71μs	276.14μs	616.57μs
2	Zhangh	2026/07/08 23:33:12	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-




测试点	结果	输出错误占比	用时	最优用时
1	Pass	0.00%	4.48μs	4.48μs
2	Pass	0.00%	4.62μs	4.62μs
3	Pass	0.00%	3.75μs	3.75μs
4	Pass	0.00%	3.63μs	3.63μs
5	Pass	0.00%	5.18μs	5.18μs
6	Pass	0.00%	3.27μs	3.27μs
7	Pass	0.00%	5.29μs	5.29μs
8	Pass	0.00%	5.29μs	5.29μs
9	Pass	0.00%	5.22μs	5.22μs
10	Pass	0.00%	5.27μs	5.27μs
11	Pass	0.00%	5.24μs	5.24μs
12	Pass	0.00%	5.41μs	5.41μs
13	Pass	0.00%	5.46μs	5.46μs
14	Pass	0.00%	5.24μs	5.24μs
15	Pass	0.00%	5.53μs	5.53μs
16	Pass	0.00%	5.52μs	5.52μs
17	Pass	0.00%	5.35μs	5.35μs
18	Pass	0.00%	5.68μs	5.68μs
19	Pass	0.00%	5.67μs	5.67μs
20	Pass	0.00%	5.52μs	5.52μs
21	Pass	0.00%	6.34μs	6.34μs
22	Pass	0.00%	6.32μs	6.32μs
23	Pass	0.00%	5.91μs	5.91μs
24	Pass	0.00%	7.49μs	7.49μs
25	Pass	0.00%	7.86μs	7.86μs
26	Pass	0.00%	7.64μs	7.64μs
27	Pass	0.00%	9.97μs	9.97μs
28	Pass	0.00%	10.04μs	10.04μs
29	Pass	0.00%	9.69μs	9.69μs
30	Pass	0.00%	13.27μs	13.27μs
31	Pass	0.00%	13.61μs	13.61μs
32	Pass	0.00%	14.01μs	14.01μs
33	Pass	0.00%	19.81μs	19.81μs
34	Pass	0.00%	19.95μs	19.95μs
35	Pass	0.00%	21.44μs	21.44μs
36	Pass	0.00%	30.96μs	30.96μs
37	Pass	0.00%	31.02μs	31.02μs
38	Pass	0.00%	34.04μs	34.04μs
39	Pass	0.00%	50.68μs	50.68μs
40	Pass	0.00%	50.56μs	50.56μs
41	Pass	0.00%	56.12μs	56.12μs
42	Pass	0.00%	84.61μs	84.61μs
43	Pass	0.00%	84.60μs	84.60μs
44	Pass	0.00%	99.08μs	99.08μs
45	Pass	0.00%	182.21μs	182.21μs
46	Pass	0.00%	181.45μs	181.45μs
47	Pass	0.00%	217.83μs	217.83μs
48	Pass	0.00%	363.81μs	363.81μs
49	Pass	0.00%	428.14μs	428.14μs
50	Pass	0.00%	786.01μs	786.01μs
通过：50 / 50
