测试点,结果,输出错误占比,Baseline时间(us),本次用时(us),较Baseline减少(us),本次/Baseline,是否小于Baseline,最优用时(us)
1,Pass,0.00%,6.74,4.48,2.26,66.47%,是,4.48
2,Pass,0.00%,6.86,4.62,2.24,67.35%,是,4.62
3,Pass,0.00%,6.96,3.75,3.21,53.88%,是,3.75
4,Pass,0.00%,7.26,3.63,3.63,50.00%,是,3.63
5,Pass,0.00%,6.88,5.18,1.70,75.29%,是,5.18
6,Pass,0.00%,7.28,3.27,4.01,44.92%,是,3.27
7,Pass,0.00%,10.96,5.29,5.67,48.27%,是,5.29
8,Pass,0.00%,11.38,5.29,6.09,46.49%,是,5.29
9,Pass,0.00%,10.86,5.22,5.64,48.07%,是,5.22
10,Pass,0.00%,10.78,5.27,5.51,48.89%,是,5.27
11,Pass,0.00%,10.64,5.24,5.40,49.25%,是,5.24
12,Pass,0.00%,11.16,5.41,5.75,48.48%,是,5.41
13,Pass,0.00%,12.54,5.46,7.08,43.54%,是,5.46
14,Pass,0.00%,12.32,5.24,7.08,42.53%,是,5.24
15,Pass,0.00%,11.52,5.53,5.99,48.00%,是,5.53
16,Pass,0.00%,11.45,5.52,5.93,48.21%,是,5.52
17,Pass,0.00%,12.26,5.35,6.91,43.64%,是,5.35
18,Pass,0.00%,12.48,5.68,6.80,45.51%,是,5.68
19,Pass,0.00%,11.74,5.67,6.07,48.30%,是,5.67
20,Pass,0.00%,11.38,5.52,5.86,48.51%,是,5.52
21,Pass,0.00%,11.48,6.34,5.14,55.23%,是,6.34
22,Pass,0.00%,11.43,6.32,5.11,55.29%,是,6.32
23,Pass,0.00%,11.46,5.91,5.55,51.57%,是,5.91
24,Pass,0.00%,11.56,7.49,4.07,64.79%,是,7.49
25,Pass,0.00%,12.59,7.86,4.73,62.43%,是,7.86
26,Pass,0.00%,13.28,7.64,5.64,57.53%,是,7.64
27,Pass,0.00%,11.96,9.97,1.99,83.36%,是,9.97
28,Pass,0.00%,12.64,10.04,2.60,79.43%,是,10.04
29,Pass,0.00%,11.88,9.69,2.19,81.57%,是,9.69
30,Pass,0.00%,12.46,13.27,-0.81,106.50%,否,13.27
31,Pass,0.00%,11.68,13.61,-1.93,116.52%,否,13.61
32,Pass,0.00%,11.24,14.01,-2.77,124.64%,否,14.01
33,Pass,0.00%,12.66,19.81,-7.15,156.48%,否,19.81
34,Pass,0.00%,12.10,19.95,-7.85,164.88%,否,19.95
35,Pass,0.00%,11.88,21.44,-9.56,180.47%,否,21.44
36,Pass,0.00%,11.66,30.96,-19.30,265.52%,否,30.96
37,Pass,0.00%,13.77,31.02,-17.25,225.27%,否,31.02
38,Pass,0.00%,13.18,34.04,-20.86,258.27%,否,34.04
39,Pass,0.00%,14.36,50.68,-36.32,352.92%,否,50.68
40,Pass,0.00%,14.99,50.56,-35.57,337.29%,否,50.56
41,Pass,0.00%,15.05,56.12,-41.07,372.89%,否,56.12
42,Pass,0.00%,15.87,84.61,-68.74,533.14%,否,84.61
43,Pass,0.00%,13.33,84.60,-71.27,634.66%,否,84.60
44,Pass,0.00%,14.06,99.08,-85.02,704.69%,否,99.08
45,Pass,0.00%,17.45,182.21,-164.76,1044.18%,否,182.21
46,Pass,0.00%,74.76,181.45,-106.69,242.71%,否,181.45
47,Pass,0.00%,74.11,217.83,-143.72,293.93%,否,217.83
48,Pass,0.00%,164.02,363.81,-199.79,221.81%,否,363.81
49,Pass,0.00%,288.92,428.14,-139.22,148.19%,否,428.14
50,Pass,0.00%,637.08,786.01,-148.93,123.38%,否,786.01
