block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.965454,151743,0.083220,0.016607,0.000000,0.000000,0.000000,0.066613,69248,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.990303,153434,0.082302,0.016424,0.000000,0.000000,0.000000,0.065878,69248,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.950912,155019,0.081461,0.016256,0.000000,0.000000,0.000000,0.065205,69248,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.532730,155979,0.080960,0.016156,0.000000,0.000000,0.000000,0.064804,69248,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.961815,156687,0.080594,0.016083,0.000000,0.000000,0.000000,0.064511,69248,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.056366,156843,0.080514,0.016067,0.000000,0.000000,0.000000,0.064447,69248,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.915756,156611,0.080633,0.016091,0.000000,0.000000,0.000000,0.064542,69248,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.588486,152771,0.082660,0.016495,0.000000,0.000000,0.000000,0.066164,69248,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.984245,156724,0.080613,0.016086,0.000000,0.000000,0.000000,0.064521,69248,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.312119,152315,0.082907,0.016545,0.000000,0.000000,0.000000,0.066362,69248,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.102425,156919,0.080475,0.016059,0.000000,0.000000,0.000000,0.064415,69248,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.342422,154015,0.081992,0.016362,0.000000,0.000000,0.000000,0.065630,69248,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.049698,153532,0.082250,0.016414,0.000000,0.000000,0.000000,0.065836,69248,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.052727,153537,0.082247,0.016413,0.000000,0.000000,0.000000,0.065834,69248,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.220001,153813,0.082100,0.016384,0.000000,0.000000,0.000000,0.065716,69248,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.199997,153780,0.082117,0.016387,0.000000,0.000000,0.000000,0.065730,69248,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.456360,154203,0.081892,0.016342,0.000000,0.000000,0.000000,0.065550,69248,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.588486,154421,0.081776,0.016319,0.000000,0.000000,0.000000,0.065457,69248,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.855148,154861,0.081544,0.016273,0.000000,0.000000,0.000000,0.065271,69248,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.043640,155172,0.081381,0.016240,0.000000,0.000000,0.000000,0.065141,69248,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.456970,154204,0.081892,0.016342,0.000000,0.000000,0.000000,0.065550,69248,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.507881,154288,0.081847,0.016333,0.000000,0.000000,0.000000,0.065514,69248,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.278183,153909,0.082048,0.016373,0.000000,0.000000,0.000000,0.065675,69248,
