block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.965454,151743,191,180,366,362,364,364,51.482479,50.137363,50.410507,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.990303,153434,191,180,367,361,365,363,51.482479,50.274727,50.519978,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.950912,155019,191,180,364,363,368,361,51.482479,50.274727,50.519978,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.532730,155979,191,180,368,361,364,363,51.482479,50.274727,50.519978,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.961815,156687,191,180,368,361,364,363,51.482479,50.274727,50.519978,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.056366,156843,191,180,365,362,367,362,51.482479,50.274727,50.519978,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.915756,156611,191,180,365,361,367,363,51.482479,50.274727,50.519978,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.588486,152771,191,180,368,362,364,362,51.482479,50.274727,50.519978,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.984245,156724,191,180,364,359,368,365,51.482479,50.274727,50.519978,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.312119,152315,191,180,368,365,364,359,51.482479,50.274727,50.519978,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.102425,156919,191,180,365,361,367,363,51.482479,50.274727,50.519978,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.342422,154015,191,180,365,365,367,359,51.482479,50.274727,50.519978,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.049698,153532,191,180,366,363,366,361,51.482479,50.274727,50.519978,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.052727,153537,191,180,366,361,366,363,51.482479,50.274727,50.519978,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.220001,153813,191,180,368,360,364,364,51.482479,50.274727,50.519978,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.199997,153780,191,180,366,362,366,362,51.482479,50.274727,50.519978,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.456360,154203,191,180,368,362,364,362,51.482479,50.274727,50.519978,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.588486,154421,191,180,364,362,368,362,51.482479,50.274727,50.519978,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.855148,154861,191,180,363,361,369,363,51.482479,50.274727,50.519978,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.043640,155172,191,180,370,362,362,362,51.482479,50.274727,50.519978,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.456970,154204,191,180,363,359,369,365,51.482479,50.274727,50.519978,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.507881,154288,191,180,369,365,363,359,51.482479,50.274727,50.519978,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.278183,153909,191,180,364,362,368,362,51.482479,50.274727,50.519978,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.849693,154852,191,180,368,362,364,362,51.482479,50.274727,50.519978,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.801819,154773,191,180,365,361,367,363,51.482479,50.274727,50.519978,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.211517,155449,191,180,368,362,364,362,51.482479,50.274727,50.519978,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.845451,154845,191,180,367,361,365,363,51.482479,50.274727,50.519978,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.323029,155633,191,180,367,361,365,363,51.482479,50.274727,50.519978,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.789093,156402,191,180,367,362,365,362,51.482479,50.274727,50.519978,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.440002,155826,191,180,362,365,370,359,51.482479,50.274727,50.519978,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.869087,156534,191,180,362,361,370,363,51.482479,50.274727,50.519978,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.628487,156137,191,180,368,365,364,359,51.482479,50.274727,50.519978,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.853333,156508,191,180,365,363,367,361,51.482479,50.274727,50.519978,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.538788,155989,191,180,367,361,365,363,51.482479,50.274727,50.519978,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.321213,155630,191,180,368,362,364,362,51.482479,50.274727,50.519978,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.360001,155694,191,180,363,363,369,361,51.482479,50.274727,50.519978,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.412125,155780,191,180,365,359,367,365,51.482479,50.274727,50.519978,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.681816,156225,191,180,368,364,364,360,51.482479,50.274727,50.519978,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.498787,155923,191,180,369,363,363,361,51.482479,50.274727,50.519978,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.746666,156332,191,180,365,359,367,365,51.482479,50.274727,50.519978,
