block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.965454,151743,0.933293,1.867882,1.887325,0.947551,722,0.683827,361,0.479330,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.848806,90.000000,0.499621,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.990303,153434,0.923007,1.847296,1.866525,0.937108,722,0.682971,361,0.465809,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.839451,90.000000,0.494115,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.950912,155019,0.913570,1.828408,1.847441,0.927527,722,0.648108,361,0.450306,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.830868,90.000000,0.489063,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.532730,155979,0.907947,1.817155,1.836070,0.921818,722,0.665006,361,0.449637,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.825754,90.000000,0.486053,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.961815,156687,0.903844,1.808944,1.827774,0.917653,722,0.651184,361,0.446125,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.822023,90.000000,0.483857,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.056366,156843,0.902945,1.807144,1.825956,0.916740,722,0.652366,361,0.450833,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.821205,90.000000,0.483375,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.915756,156611,0.904283,1.809821,1.828661,0.918098,722,0.674423,361,0.458416,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.822422,90.000000,0.484091,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.588486,152771,0.927013,1.855313,1.874625,0.941175,722,0.678224,361,0.478193,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.843094,90.000000,0.496259,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.984245,156724,0.903631,1.808517,1.827342,0.917436,722,0.671499,361,0.455380,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.821829,90.000000,0.483742,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.312119,152315,0.929788,1.860867,1.880238,0.943993,722,0.690333,361,0.466763,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.845618,90.000000,0.497745,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.102425,156919,0.902508,1.806269,1.825071,0.916296,722,0.663846,361,0.436646,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.820808,90.000000,0.483141,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.342422,154015,0.919525,1.840327,1.859484,0.933573,722,0.664877,361,0.444840,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.836284,90.000000,0.492251,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.049698,153532,0.922418,1.846116,1.865334,0.936510,722,0.676686,361,0.446851,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.838915,90.000000,0.493800,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.052727,153537,0.922388,1.846056,1.865273,0.936480,722,0.680351,361,0.448752,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.838888,90.000000,0.493784,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.220001,153813,0.920733,1.842744,1.861926,0.934799,722,0.669963,361,0.436211,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.837382,90.000000,0.492898,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.199997,153780,0.920930,1.843139,1.862325,0.935000,722,0.688158,361,0.444674,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.837562,90.000000,0.493003,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.456360,154203,0.918404,1.838083,1.857217,0.932435,722,0.683281,361,0.444142,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.835265,90.000000,0.491651,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.588486,154421,0.917107,1.835488,1.854595,0.931119,722,0.686947,361,0.446053,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.834085,90.000000,0.490957,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.855148,154861,0.914502,1.830273,1.849326,0.928473,722,0.676620,361,0.467587,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.831716,90.000000,0.489562,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.043640,155172,0.912669,1.826605,1.845619,0.926612,722,0.679581,361,0.467900,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.830049,90.000000,0.488581,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.456970,154204,0.918398,1.838071,1.857205,0.932429,722,0.675430,361,0.462154,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.835259,90.000000,0.491648,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.507881,154288,0.917898,1.837071,1.856194,0.931921,722,0.676410,361,0.465026,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.834804,90.000000,0.491380,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.278183,153909,0.920158,1.841594,1.860764,0.934216,722,0.667212,361,0.444185,182.000000,91.375000,NA,NA,NA,NA,NA,NA,NA,NA,180.125000,0.836860,90.000000,0.492590,
