block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,91.965454,151743,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,92.990303,153434,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.950912,155019,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.532730,155979,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.961815,156687,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,95.056366,156843,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.915756,156611,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,92.588486,152771,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.984245,156724,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,92.312119,152315,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,95.102425,156919,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.342422,154015,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.049698,153532,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.052727,153537,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.220001,153813,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.199997,153780,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.456360,154203,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.588486,154421,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.855148,154861,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.043640,155172,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.456970,154204,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.507881,154288,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.278183,153909,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.849693,154852,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.801819,154773,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.211517,155449,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93.845451,154845,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.323029,155633,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.789093,156402,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.440002,155826,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.869087,156534,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.628487,156137,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.853333,156508,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.538788,155989,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.321213,155630,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.360001,155694,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.412125,155780,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.681816,156225,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.498787,155923,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,94.746666,156332,
