block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,91.965454,151743,0.933293,0.933293,0.000162,0.000000,
1,vector0,NA,NA,92.990303,153434,0.923007,0.923007,0.000160,0.000000,
2,vector0,NA,NA,93.950912,155019,0.913570,0.913570,0.000159,0.000000,
3,vector0,NA,NA,94.532730,155979,0.907947,0.907947,0.000158,0.000000,
4,vector0,NA,NA,94.961815,156687,0.903844,0.903844,0.000157,0.000000,
5,vector0,NA,NA,95.056366,156843,0.902945,0.902945,0.000157,0.000000,
6,vector0,NA,NA,94.915756,156611,0.904283,0.904283,0.000157,0.000000,
7,vector0,NA,NA,92.588486,152771,0.927013,0.927013,0.000161,0.000000,
8,vector0,NA,NA,94.984245,156724,0.903631,0.903631,0.000157,0.000000,
9,vector0,NA,NA,92.312119,152315,0.929788,0.929788,0.000161,0.000000,
10,vector0,NA,NA,95.102425,156919,0.902508,0.902508,0.000157,0.000000,
11,vector0,NA,NA,93.342422,154015,0.919525,0.919525,0.000160,0.000000,
12,vector0,NA,NA,93.049698,153532,0.922418,0.922418,0.000160,0.000000,
13,vector0,NA,NA,93.052727,153537,0.922388,0.922388,0.000160,0.000000,
14,vector0,NA,NA,93.220001,153813,0.920733,0.920733,0.000160,0.000000,
15,vector0,NA,NA,93.199997,153780,0.920930,0.920930,0.000160,0.000000,
16,vector0,NA,NA,93.456360,154203,0.918404,0.918404,0.000159,0.000000,
17,vector0,NA,NA,93.588486,154421,0.917107,0.917107,0.000159,0.000000,
18,vector0,NA,NA,93.855148,154861,0.914502,0.914502,0.000159,0.000000,
19,vector0,NA,NA,94.043640,155172,0.912669,0.912669,0.000158,0.000000,
20,vector0,NA,NA,93.456970,154204,0.918398,0.918398,0.000159,0.000000,
21,vector0,NA,NA,93.507881,154288,0.917898,0.917898,0.000159,0.000000,
22,vector0,NA,NA,93.278183,153909,0.920158,0.920158,0.000160,0.000000,
23,vector0,NA,NA,93.849693,154852,0.914555,0.914555,0.000159,0.000000,
24,vector0,NA,NA,93.801819,154773,0.915022,0.915022,0.000159,0.000000,
25,vector0,NA,NA,94.211517,155449,0.911042,0.911042,0.000158,0.000000,
26,vector0,NA,NA,93.845451,154845,0.914596,0.914596,0.000159,0.000000,
27,vector0,NA,NA,94.323029,155633,0.909965,0.909965,0.000158,0.000000,
28,vector0,NA,NA,94.789093,156402,0.905491,0.905491,0.000157,0.000000,
29,vector0,NA,NA,94.440002,155826,0.908838,0.908838,0.000158,0.000000,
30,vector0,NA,NA,94.869087,156534,0.904728,0.904728,0.000157,0.000000,
31,vector0,NA,NA,94.628487,156137,0.907028,0.907028,0.000157,0.000000,
32,vector0,NA,NA,94.853333,156508,0.904878,0.904878,0.000157,0.000000,
33,vector0,NA,NA,94.538788,155989,0.907889,0.907889,0.000158,0.000000,
34,vector0,NA,NA,94.321213,155630,0.909983,0.909983,0.000158,0.000000,
35,vector0,NA,NA,94.360001,155694,0.909609,0.909609,0.000158,0.000000,
36,vector0,NA,NA,94.412125,155780,0.909107,0.909107,0.000158,0.000000,
37,vector0,NA,NA,94.681816,156225,0.906517,0.906517,0.000157,0.000000,
38,vector0,NA,NA,94.498787,155923,0.908273,0.908273,0.000158,0.000000,
39,vector0,NA,NA,94.746666,156332,0.905897,0.905897,0.000157,0.000000,
