block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.965454,151743,7.653333,0.083220,62.888485,0.683827,2.731511,44.081818,0.479330,1.947077,0.000000,91.779999,0.997983,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.520606,0.301212,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.990303,153434,7.653333,0.082302,63.509697,0.682971,2.704793,43.315758,0.465809,1.981512,0.000000,91.866669,0.987917,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.443030,1.166667,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.950912,155019,7.653333,0.081461,60.890305,0.648108,2.821148,42.306667,0.450306,2.028775,0.000000,93.695755,0.997284,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.462424,0.330909,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.532730,155979,7.653333,0.080960,62.864849,0.665006,2.732538,42.505455,0.449637,2.019287,0.000000,94.090302,0.995320,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.480000,1.165455,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.961815,156687,7.653333,0.080594,61.837574,0.651184,2.777932,42.364849,0.446125,2.025988,0.000000,93.831512,0.988097,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.464848,1.003030,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.056366,156843,7.653333,0.080514,62.011517,0.652366,2.770140,42.854546,0.450833,2.002837,0.000000,94.564850,0.994829,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.481212,0.686667,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.915756,156611,7.653333,0.080633,64.013336,0.674423,2.683513,43.510910,0.458416,1.972624,0.000000,94.260605,0.993098,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.430303,0.749697,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.588486,152771,7.653333,0.082660,62.795757,0.678224,2.735544,44.275150,0.478193,1.938575,0.000000,91.975754,0.993382,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.534545,0.427273,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.984245,156724,7.656970,0.080613,63.781818,0.671499,2.693253,43.253941,0.455380,1.984344,0.000000,93.989090,0.989523,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.510909,1.036364,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.312119,152315,7.653333,0.082907,63.726059,0.690333,2.695610,43.087879,0.466763,1.991991,0.000000,91.981819,0.996422,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.907879,0.715758,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.102425,156919,7.653333,0.080475,63.133335,0.663846,2.720917,41.526062,0.436646,2.066911,0.000000,94.801819,0.996839,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.469091,0.263636,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.342422,154015,7.653333,0.081992,62.061211,0.664877,2.767922,41.522423,0.444840,2.067093,0.000000,92.561821,0.991637,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.383636,0.779394,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.049698,153532,7.653333,0.082250,62.965454,0.676686,2.728172,41.579395,0.446851,2.064260,0.000000,92.212730,0.991005,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.495758,0.940000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.052727,153537,7.653333,0.082247,63.308483,0.680351,2.713390,41.757576,0.448752,2.055452,0.000000,92.021210,0.988915,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.443636,1.166061,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.220001,153813,7.653333,0.082100,62.453938,0.669963,2.750517,40.663635,0.436211,2.110748,0.000000,92.152122,0.988545,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.524848,0.940000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.199997,153780,7.653333,0.082117,64.136360,0.688158,2.678365,41.443638,0.444674,2.071022,0.000000,92.198792,0.989257,27.102425,14.900606,0.000000,0.000000,0.000000,0.000000,0.412121,1.133939,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.456360,154203,7.653333,0.081892,63.856968,0.683281,2.690084,41.507877,0.444142,2.067817,0.000000,92.417572,0.988885,27.100000,14.901818,0.000000,0.000000,0.000000,0.000000,0.472121,1.133333,
