block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,91.965454,151743,0.000000,0.000000,0.000000,0.000000,0.000000,0.626909,0.183185,0.301220,
1,vector0,NA,NA,NA,NA,NA,NA,92.990303,153434,0.000000,0.000000,0.000000,0.000000,0.000000,0.615222,0.158368,0.299373,
2,vector0,NA,NA,NA,NA,NA,NA,93.950912,155019,0.000000,0.000000,0.000000,0.000000,0.000000,0.576865,0.142841,0.292764,
3,vector0,NA,NA,NA,NA,NA,NA,94.532730,155979,0.000000,0.000000,0.000000,0.000000,0.000000,0.590086,0.145635,0.284885,
4,vector0,NA,NA,NA,NA,NA,NA,94.961815,156687,0.000000,0.000000,0.000000,0.000000,0.000000,0.566097,0.135882,0.274854,
5,vector0,NA,NA,NA,NA,NA,NA,95.056366,156843,0.000000,0.000000,0.000000,0.000000,0.000000,0.577316,0.148142,0.261497,
6,vector0,NA,NA,NA,NA,NA,NA,94.915756,156611,0.000000,0.000000,0.000000,0.000000,0.000000,0.618635,0.181909,0.285727,
7,vector0,NA,NA,NA,NA,NA,NA,92.588486,152771,0.000000,0.000000,0.000000,0.000000,0.000000,0.613925,0.157883,0.282154,
8,vector0,NA,NA,NA,NA,NA,NA,94.984245,156724,0.000000,0.000000,0.000000,0.000000,0.000000,0.618514,0.189665,0.271369,
9,vector0,NA,NA,NA,NA,NA,NA,92.312119,152315,0.000000,0.000000,0.000000,0.000000,0.000000,0.637127,0.180186,0.313134,
10,vector0,NA,NA,NA,NA,NA,NA,95.102425,156919,0.000000,0.000000,0.000000,0.000000,0.000000,0.612259,0.177671,0.309370,
11,vector0,NA,NA,NA,NA,NA,NA,93.342422,154015,0.000000,0.000000,0.000000,0.000000,0.000000,0.597215,0.146700,0.292738,
12,vector0,NA,NA,NA,NA,NA,NA,93.049698,153532,0.000000,0.000000,0.000000,0.000000,0.000000,0.603151,0.156143,0.280743,
13,vector0,NA,NA,NA,NA,NA,NA,93.052727,153537,0.000000,0.000000,0.000000,0.000000,0.000000,0.604252,0.159838,0.306239,
14,vector0,NA,NA,NA,NA,NA,NA,93.220001,153813,0.000000,0.000000,0.000000,0.000000,0.000000,0.589970,0.150221,0.282772,
15,vector0,NA,NA,NA,NA,NA,NA,93.199997,153780,0.000000,0.000000,0.000000,0.000000,0.000000,0.624119,0.191273,0.321771,
16,vector0,NA,NA,NA,NA,NA,NA,93.456360,154203,0.000000,0.000000,0.000000,0.000000,0.000000,0.610423,0.165328,0.273283,
17,vector0,NA,NA,NA,NA,NA,NA,93.588486,154421,0.000000,0.000000,0.000000,0.000000,0.000000,0.624604,0.188277,0.286198,
18,vector0,NA,NA,NA,NA,NA,NA,93.855148,154861,0.000000,0.000000,0.000000,0.000000,0.000000,0.613679,0.183203,0.291668,
19,vector0,NA,NA,NA,NA,NA,NA,94.043640,155172,0.000000,0.000000,0.000000,0.000000,0.000000,0.609672,0.166576,0.308657,
20,vector0,NA,NA,NA,NA,NA,NA,93.456970,154204,0.000000,0.000000,0.000000,0.000000,0.000000,0.601917,0.156332,0.281244,
